id,client_id,score,decision,timestamp,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,PAYMENT_RATE,DAYS_BIRTH,DAYS_EMPLOYED,AMT_ANNUITY,AMT_CREDIT,AMT_INCOME_TOTAL,DAYS_REGISTRATION,latency
514,451949,0.684443950653076,"Refusé",2026-01-17T00:07:41.646387,,0.097278779505648,,0.079003164556962,-13347.0,-1698.0,22468.5,284400.0,405000.0,-8337.0,0.201657524721245
513,158842,0.427623629570007,"Accepté",2026-01-17T00:07:41.464396,,0.281913816067976,0.542445143861361,0.0514714285714285,-24504.0,-3826.0,16213.5,315000.0,180000.0,-2688.0,0.208057748265989
512,205792,0.0975849032402039,"Accepté",2026-01-17T00:07:41.286744,0.924060738472518,0.357101706129251,0.520897599048938,0.0481075697211155,-26194.0,-823.0,54337.5,1129500.0,1080000.0,-6629.0,0.0674053167973627
511,290820,0.749699234962463,"Refusé",2026-01-17T00:07:41.050168,,0.324033176653115,,0.0668295792605184,-24845.0,-5054.0,45288.0,677664.0,360000.0,-4148.0,0.204169039439794
510,214189,0.252654910087585,"Accepté",2026-01-17T00:07:40.867449,,0.197186296233235,0.51909733820846,0.102727648932151,-17513.0,-750.0,51385.5,500211.0,360000.0,-6634.0,0.213721971162268
509,399674,0.157338440418243,"Accepté",2026-01-17T00:07:40.690377,0.370000255966682,0.358791797005708,0.379100485399815,0.05,-16866.0,-2395.0,10125.0,202500.0,180000.0,-1898.0,0.204181017757997
508,267240,0.328238308429718,"Accepté",2026-01-17T00:07:40.451608,,0.277769776593231,0.526294939809619,0.05,-19708.0,-464.0,10125.0,202500.0,135000.0,-1781.0,0.297852123384343
507,168869,0.239740967750549,"Accepté",2026-01-17T00:07:40.267212,,0.306363475922809,0.294083100947125,0.05,-23590.0,-7094.0,40500.0,810000.0,540000.0,-104.0,0.12720941738447
506,307702,0.112960457801819,"Accepté",2026-01-17T00:07:40.087131,,0.384727760404464,0.484851475496267,0.0360882352941176,-26036.0,,27607.5,765000.0,162000.0,-5824.0,0.062468282336351
505,359804,0.134310007095337,"Accepté",2026-01-17T00:07:39.900241,,0.335594606572295,0.783832433519962,0.0425396257895364,-20285.0,-55.0,32125.5,755190.0,270000.0,-8115.0,0.170701876590742
